1216.HK	中原銀行
1218.HK	永義國際
1219.HK	天喔國際
1220.HK	志道國際
1221.HK	SINO HOTELS
1222.HK	WANG ON GROUP
1223.HK	新灃集團
1224.HK	中渝置地
1225.HK	隆成金融
1229.HK	南南資源
1230.HK	雅士利國際
1231.HK	新礦資源
1232.HK	金輪天地控股
1233.HK	時代中國控股
1234.HK	中國利郎
1235.HK	專業旅運
1237.HK	中科生物
1238.HK	寶龍地產
1239.HK	TEAMWAY INTL GP
1240.HK	青建國際
1241.HK	雙樺控股
1243.HK	宏安地產
1245.HK	NIRAKU
1246.HK	保集健康
1247.HK	米格國際控股
1249.HK	通力電子
1250.HK	北控清潔能源集團
1251.HK	華油能源
1252.HK	中國天瑞水泥
1253.HK	中國綠地博大綠澤
1255.HK	港大零售
1257.HK	中國光大綠色環保
1258.HK	中國有色礦業
1259.HK	未來發展控股
1260.HK	皓天財經集團
1262.HK	蠟筆小新食品
1263.HK	栢能集團
1265.HK	天津津燃公用
1266.HK	西王特鋼
1268.HK	美東汽車
1269.HK	首控集團
1270.HK	朗廷－ＳＳ
1271.HK	佳明集團控股
1272.HK	大唐環境
1273.HK	香港信貸
1277.HK	力量能源
1278.HK	中國新城鎮
1280.HK	奇點國際
1281.HK	隆基泰和智慧能源
1282.HK	寶新金融
1283.HK	高陞集團控股
1285.HK	嘉士利集團
1286.HK	鷹普精密
1288.HK	農業銀行
1289.HK	盛力達科技
1290.HK	中國匯融
1292.HK	長安民生物流
1293.HK	廣匯寶信
1296.HK	國電科環
1297.HK	中國擎天軟件
1298.HK	雲能國際
1299.HK	友邦保險
1300.HK	俊知集團
1301.HK	德基科技控股
1302.HK	先健科技
1303.HK	滙力資源
1305.HK	偉志控股
1308.HK	海豐國際
1310.HK	香港寬頻
1312.HK	同方康泰
1313.HK	華潤水泥控股
1314.HK	翠華控股
